metric,metric_label,rows,samples,scene_groups,r2mt_mean_nmae,r2mt_sample_sd,efficientnet_mean_nmae,efficientnet_sample_sd,vdn_annotation_nmae,vdn_annotation_single_checkpoint,vdn_annotation_deployable,r2mt_reduction_vs_efficientnet_pp,r2mt_reduction_vs_efficientnet_ci_low_pp,r2mt_reduction_vs_efficientnet_ci_high_pp,r2mt_reduction_vs_vdn_pp,r2mt_reduction_vs_vdn_ci_low_pp,r2mt_reduction_vs_vdn_ci_high_pp
clean,Clean,129,129,6,0.005932528223701647,0.00014471563472242958,0.006099474424125122,0.00017040897945081409,0.009533606238605568,True,False,0.01669462004234754,-0.04990684684627746,0.11347811859096787,0.36010780149039195,0.18671157163367036,0.5774185039531011
blur_moderate,Blur-M,129,129,6,0.005931639024432334,6.885811453418132e-05,0.006122165275502099,0.00014967641137669308,0.01020392655279362,True,False,0.019052625106976476,-0.055647889232660994,0.12022168733789051,0.4272287528361284,0.26212310726375254,0.6198521889514695
blur_severe,Blur-S,129,129,6,0.006038688084844375,0.00015073588700561974,0.006456675342300703,0.00013694823316605064,0.01583427540502883,True,False,0.04179872574563275,-0.04306142661813278,0.12856657183454626,0.979558732018445,0.3224755631189853,2.265995517005325
perspective_moderate,Persp.-25,129,129,6,0.008137668010324174,0.00014385272225887443,0.011985572495116725,0.000966067062148442,0.009114315091698737,True,False,0.38479044847925514,0.3226773258966387,0.45964598221419367,0.09766470813745631,-0.03191056632695256,0.23959767657042425
perspective_severe,Persp.-45,129,129,6,0.013494220195043665,0.0010139755696688037,0.018917569005589954,0.0017888792210132638,0.025389926906809558,True,False,0.5423348810546289,0.14813525793007212,0.7977233668853936,1.1895706711765894,0.44321792305562213,1.6506111859254102
combined_severe,45 + blur,129,129,6,0.014789359789692182,0.001240889943802935,0.020454514043738214,0.0015066636630438409,0.02858655869289798,True,False,0.5665154254046034,0.0016112007157921483,0.9378974658304418,1.3797198903205803,0.39851969936258635,2.296051757610244
all_conditions,All six,774,129,6,0.00905401722133973,0.00039153644983259766,0.01167266176439547,0.0006382888562696302,0.016443768147972382,True,False,0.26186445430557403,0.12305746074086073,0.3613982946340698,0.7389750926632651,0.42068673777480964,1.1549521958478381
projective_pooled,Projective pool,387,129,6,0.012140415998353339,0.0007141221117953067,0.017119218514814964,0.0013959445914309774,0.02103026689713543,True,False,0.4978802516461625,0.19395246524108964,0.6907710700897394,0.8889850898782087,0.3205268321377336,1.3741588977426207
