method,metric,metric_label,mean_nmae,sample_sd,source_type
w/o deep representations,all_conditions,All six,0.01053332545666677,0.00041174132547656006,three_seed_evaluation
w/o deep representations,projective_pooled,Projective pool,0.013131983537140249,0.000493616884483996,three_seed_evaluation
w/o risk-imitation loss,clean,Clean,0.007828709831072513,0.0003422909883882643,three_seed_evaluation
w/o risk-imitation loss,blur_moderate,Blur-M,0.007847554737761537,0.0003442494251042821,three_seed_evaluation
w/o risk-imitation loss,blur_severe,Blur-S,0.00812773755974581,0.000409347776895299,three_seed_evaluation
w/o risk-imitation loss,perspective_moderate,Persp.-25,0.010311418791284284,0.00020817276305803937,three_seed_evaluation
w/o risk-imitation loss,perspective_severe,Persp.-45,0.013450834909583369,0.0005403047044506004,three_seed_evaluation
w/o risk-imitation loss,combined_severe,45 + blur,0.015633372203868026,0.0007683283372766966,three_seed_evaluation
w/o risk-imitation loss,all_conditions,All six,0.010533271338885923,0.0004164622440073916,three_seed_evaluation
w/o risk-imitation loss,projective_pooled,Projective pool,0.01313187530157856,0.000501784382194743,three_seed_evaluation
posterior probability mixture,clean,Clean,0.007828709831072513,0.0003422909883882643,three_seed_evaluation
posterior probability mixture,blur_moderate,Blur-M,0.007847554737761537,0.0003442494251042821,three_seed_evaluation
posterior probability mixture,blur_severe,Blur-S,0.00812773755974581,0.000409347776895299,three_seed_evaluation
posterior probability mixture,perspective_moderate,Persp.-25,0.010768558527924315,0.0007489937001756847,three_seed_evaluation
posterior probability mixture,perspective_severe,Persp.-45,0.017107755823238396,0.0019233651417578817,three_seed_evaluation
posterior probability mixture,combined_severe,45 + blur,0.019609735483207175,0.0023749253470077554,three_seed_evaluation
posterior probability mixture,all_conditions,All six,0.01188167532715829,0.0009868926001042199,three_seed_evaluation
posterior probability mixture,projective_pooled,Projective pool,0.015828683278123295,0.001650593783240229,three_seed_evaluation
